user_id,course_id,enroll,watch_ratio,exercise_ratio,preference
U_24,C_597314,1,,,3.0
U_24,C_597208,1,,,2.97
U_24,C_682129,1,,,2.94
U_24,C_674910,1,,,2.91
U_24,C_707038,1,,,2.88
U_24,C_682312,1,,,2.85
U_24,C_696994,1,,,2.82
U_24,C_707360,1,,,2.79
U_24,C_758201,1,,,2.76
U_24,C_681088,1,,,2.73
U_24,C_758221,1,,,2.7
U_24,C_808654,1,,,2.67
U_24,C_735214,1,,,2.64
U_24,C_879040,1,,,2.61
U_24,C_682485,1,,,2.58
U_24,C_681655,1,,,2.55
U_24,C_697265,1,,,2.52
U_24,C_1025064,1,,,2.49
U_24,C_697288,1,,,2.46
U_24,C_707456,1,,,2.43
U_24,C_936973,1,,,2.4
U_24,C_677038,1,,,2.37
U_24,C_936913,1,,,2.34
U_24,C_696946,1,,,2.31
U_24,C_1428968,1,,,2.28
U_24,C_1748240,1,,,2.25
U_24,C_1756063,1,,,2.22
U_24,C_1778415,1,,,2.19
U_24,C_682530,1,,,2.16
U_24,C_1794464,1,,,2.13
U_24,C_1795810,1,,,2.1
U_24,C_1836502,1,,,2.07
U_24,C_948415,1,,,2.04
U_24,C_948410,1,,,2.01
U_24,C_1808023,1,,,1.98
U_24,C_681414,1,,,1.95
U_24,C_1894860,1,,,1.92
U_24,C_1903985,1,,,1.89
U_24,C_1764851,1,,,1.86
U_24,C_2229905,1,,,1.83
U_53,C_696679,1,,,3.0
U_53,C_943255,1,,,2.97
U_53,C_682164,1,,,2.94
U_53,C_1771179,1,,,2.91
U_53,C_1836502,1,,,2.88
U_53,C_1794464,1,,,2.85
U_54,C_682442,1,,,3.0
U_54,C_682164,1,,,2.97
U_54,C_1748240,1,,,2.94
U_54,C_1794464,1,,,2.91
U_54,C_697791,1,,,2.88
U_54,C_1793742,1,,,2.85
U_68,C_696692,1,,,3.0
U_68,C_948431,1,,,2.97
U_69,C_584329,1,,,3.0
U_69,C_584313,1,,,2.97
U_69,C_597225,1,,,2.94
U_69,C_679390,1,,,2.91
U_69,C_696994,1,,,2.88
U_69,C_697791,1,,,2.85
U_69,C_696911,1,,,2.82
U_69,C_875624,1,,,2.79
U_90,C_676664,1,,,3.0
